suite2p_path,roi_index,spike_prob_index,raw_f_index,feature,label
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,337,406,417.0,"[nan, -0.3408798942328725, -1.175211606330028]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,33,84,95.0,"[nan, -0.3925400864878236, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,5,480,493.0,"[nan, 2.764289352897164, -0.875416543376826]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,279,132,144.0,"[nan, -0.20467554030148366, -1.846962434935696]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,14,211,219.0,"[nan, 3.0838209332551205, -0.8003907680001675]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,84,544,557.0,"[nan, -0.22228176837891783, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,288,87,98.0,"[nan, -0.6881155146538551, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1533,808,817.0,"[nan, -0.3699402819327123, -1.1885339765217602]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,415,256,267.0,"[nan, -0.40825883928366713, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,604,460,474.0,"[nan, -0.42780184847755043, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,332,417,422.0,"[nan, -0.4517092878237328, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,557,456,462.0,"[nan, -0.4943727066861409, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,492,347,357.0,"[nan, -0.05727965436631467, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,351,677,682.0,"[nan, -0.33854273654638883, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,32,450,457.0,"[nan, -0.5002645073771914, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,133,253,259.0,"[nan, 0.3692720240578359, -1.3564776973073425]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,486,165,180.0,"[nan, -0.3380820203082915, -1.5692662669114694]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,238,72,71.0,"[nan, -0.8842186724981465, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,1697,665,679.0,"[nan, -0.23365122737220748, -1.190330089830889]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,362,772,768.0,"[nan, -0.7610623022726056, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,430,769,769.0,"[nan, -0.6906871541541112, -1.7441239324597262]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,211,688,699.0,"[nan, -0.06106163608616329, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,336,356,361.0,"[nan, -0.28182346066911074, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,305,387,396.0,"[nan, -0.3623043247735392, -1.1116776802187063]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,235,606,613.0,"[nan, 3.093718284664775, -1.221811776680416]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,138,796,804.0,"[nan, 1.20418009680324, 0.34450359409965914]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,547,834,842.0,"[nan, -0.729520757345512, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,533,823,831.0,"[nan, -0.727842284822047, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,96,610,611.0,"[nan, -0.4561788827805779, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,990,296,311.0,"[nan, -0.4582375897204794, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,409,803,817.0,"[nan, 1.1398429378330242, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,372,603,614.0,"[nan, -0.6949750009721907, -0.9174210526865266]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,721,185,182.0,"[nan, 0.02719975350368756, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,485,329,331.0,"[nan, -0.03250038770971833, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,40,369,376.0,"[nan, -0.0783008765113699, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,211,597,606.0,"[nan, 1.7384561325822099, -0.8934242585602105]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,308,504,514.0,"[nan, -0.06047437718077782, -0.9374439321120863]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,184,121,129.0,"[nan, -0.009908876114965477, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1184,724,728.0,"[nan, -0.22063379111495293, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,1456,658,669.0,"[nan, -0.5584232159276016, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,42,510,508.0,"[nan, -0.5284370300204694, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,543,475,475.0,"[nan, -0.4805628372891769, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,303,348,355.0,"[nan, -0.29246990860569194, -1.256646837786598]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1455,353,354.0,"[nan, -0.42240014118950353, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,493,422,422.0,"[nan, -0.17443345841238062, -1.077225860901879]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,202,551,560.0,"[nan, -0.05790134899682538, -0.8414043031939233]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,330,784,796.0,"[nan, -0.6769260912028935, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,980,403,418.0,"[nan, -0.739273655207104, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,408,656,652.0,"[nan, 0.3952496307662335, -0.6534160229914713]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1143,357,364.0,"[nan, -0.1605333154987872, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,255,226,236.0,"[nan, -0.05596381151670705, -0.9331891354391967]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,211,478,486.0,"[nan, -0.3407245613388852, -0.9957075611449386]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,84,139,148.0,"[nan, -0.5127841761656562, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,93,353,359.0,"[nan, 1.345249551279479, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,879,179,184.0,"[nan, -0.5630869210310193, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,7,184,195.0,"[nan, -0.4216564299719003, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,881,441,448.0,"[nan, -0.4105067823626579, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1291,260,275.0,"[nan, -0.6823012382134286, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,47,379,389.0,"[nan, 0.7766645145701493, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,26,225,235.0,"[nan, 0.5222095566616464, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,415,182,186.0,"[nan, -0.2814527880130875, -0.892693537121283]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,383,418,426.0,"[nan, -0.1809362315225692, -1.5336975348639321]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,321,812,820.0,"[nan, -0.092087812961888, -1.480424294650172]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,230,269,274.0,"[nan, 1.8604068857810898, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,24,616,624.0,"[nan, 1.7158230813056616, -0.8760863173624229]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,225,275,290.0,"[nan, -0.5199658144106448, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-3_1x\suite2p\plane0,907,400,396.0,"[nan, -0.5417414518319478, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-2_1x\suite2p\plane0,282,632,641.0,"[nan, -0.4500393034024529, -2.0179333555571812]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,84,233,245.0,"[nan, -0.46530941454981195, -2.899639744811897]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0,707,825,823.0,"[nan, -0.7233010956948344, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,119,593,589.0,"[nan, 0.18934681854923813, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,45,278,287.0,"[nan, -0.4549820915724802, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,378,211,226.0,"[nan, 1.3174448180339182, -2.2306551591866435]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,370,816,830.0,"[nan, -0.5309860693742938, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,90,371,377.0,"[nan, 3.441897532297457, -0.19128098063902108]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,337,136,150.0,"[nan, -0.35551600320009813, -1.1665863743022176]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-3_1x\suite2p\plane0,897,564,575.0,"[nan, 0.09645654986474754, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,244,680,687.0,"[nan, -0.3889670033370051, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,333,162,170.0,"[nan, 0.03854537796503791, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,673,687,699.0,"[nan, -0.4585302601040399, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,45,464,464.0,"[nan, -0.33639360481712394, -1.0807964596847615]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,29,334,338.0,"[nan, -0.6660073071527215, -1.0698677313598397]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,163,796,805.0,"[nan, -0.5871014554218311, -1.4022254515189023]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1247,162,170.0,"[nan, -0.3083139848105893, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,233,266,275.0,"[nan, -0.2692099589165898, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,375,562,567.0,"[nan, 0.9934958439141011, -0.8934998708856186]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-2 glass\suite2p\plane0,106,256,264.0,"[nan, 2.897037155115499, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,226,841,848.0,"[nan, -0.7024853109986597, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1576,553,562.0,"[nan, 0.05647602554740472, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,375,823,838.0,"[nan, 1.076606626852214, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,244,175,181.0,"[nan, -0.3657107810080639, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,437,266,276.0,"[nan, -0.4168348657198406, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,689,667,677.0,"[nan, -0.3637664302040149, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,165,453,461.0,"[nan, -0.7423880871817324, -2.512030436058592]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,1292,666,662.0,"[nan, -0.6060210694905849, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,554,602,617.0,"[nan, -0.3662095635168978, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,69,767,780.0,"[nan, -0.504676533982457, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,395,535,545.0,"[nan, -0.4568859012838677, -0.8455600184655597]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,131,252,262.0,"[nan, 4.563918476450351, -0.2921495411501574]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,164,392,389.0,"[nan, -0.21532622387461173, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,377,849,856.0,"[nan, -0.4520107683313105, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,581,370,366.0,"[nan, -0.8532455796828983, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,139,404,415.0,"[nan, 0.4876413831819016, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,216,679,679.0,"[nan, -0.5685446688160342, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,177,198,201.0,"[nan, -0.8238851213373601, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,385,87,89.0,"[nan, -0.659106741210792, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,290,156,168.0,"[nan, -0.3170677627599009, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,30,296,309.0,"[nan, 1.104486022268275, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,369,261,271.0,"[nan, 0.5049564536031134, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,1607,295,292.0,"[nan, -0.9402599766952088, -1.4936187770329625]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,698,706,709.0,"[nan, -0.323974621647557, -1.7231623461561432]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,296,165,172.0,"[nan, -0.14939625378099794, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,204,194,200.0,"[nan, 0.7433678731308239, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,1607,640,644.0,"[nan, -0.8630969175196547, -1.4773808467237894]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,755,100,99.0,"[nan, -0.7377359952860896, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,369,655,661.0,"[nan, -0.12427023995304884, -0.7548668840851673]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1090,719,732.0,"[nan, -0.2249906939360175, -1.0334559798787246]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,235,254,267.0,"[nan, -0.5387895066279794, -0.7654534075241186]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,999,753,760.0,"[nan, -0.3661445646486335, -0.34445816766398624]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-1 glass\suite2p\plane0,136,685,691.0,"[nan, 0.7632430469936113, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,1003,848,853.0,"[nan, -0.47353377423623827, -1.4692113775848927]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,563,821,836.0,"[nan, -0.02140853252479226, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,727,554,565.0,"[nan, -0.4116427679826727, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-4 glass\suite2p\plane0,154,619,626.0,"[nan, 3.378784012420136, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,1891,478,486.0,"[nan, -0.4510336372345263, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,1456,511,510.0,"[nan, -0.5495571633552547, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,293,58,64.0,"[nan, -0.6085676221097565, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,774,530,527.0,"[nan, -0.6757027866118314, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,471,814,809.0,"[nan, -0.23895915766710982, -0.954572500839287]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,1137,399,408.0,"[nan, -0.4946285542608369, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,497,593,590.0,"[nan, -0.2691166296907372, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,82,675,689.0,"[nan, -0.7299680237357552, -0.031803576142418286]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\2-3 glass\suite2p\plane0,45,637,642.0,"[nan, 1.0978116574706691, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,371,60,67.0,"[nan, -0.6065083038389194, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,432,639,647.0,"[nan, -0.05498201516881197, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-4\suite2p\plane0,471,345,350.0,"[nan, -0.6344474884793835, -1.1132303523428682]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,55,237,247.0,"[nan, -0.5408008803294712, -1.224785810795542]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-1\suite2p\plane0,484,351,358.0,"[nan, -0.1603097222963945, -0.9209817476689146]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,963,336,339.0,"[nan, -0.5842636878518893, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-2_1x\suite2p\plane0,540,600,600.0,"[nan, -0.7258527913978646, -1.0243922989456762]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training\1-1_1x\suite2p\plane0,164,312,321.0,"[nan, -0.7321704974455079, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,527,634,640.0,"[nan, -0.5305303935436871, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,101,558,566.0,"[nan, -0.6026829614917419, -0.9024019783757938]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-2\suite2p\plane0,989,155,169.0,"[nan, -0.5834917430912475, -1.2972023653753773]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-2\suite2p\plane0,293,180,187.0,"[nan, 0.11123665837274338, 0.7583878192940736]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,578,380,382.0,"[nan, -0.7770051489835907, 0.7583878192940736]",0
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_3\2-1\suite2p\plane0,1073,710,719.0,"[nan, -0.13886031360192078, -3.321245308158435]",1
C:\Users\mzinn1\Desktop\Datasets\roi_classifier_training_2\2-3\suite2p\plane0,559,789,796.0,"[nan, 0.055996363912124904, -1.200924668534343]",1
